Intel,i9-13900k,13gen-i9.jpg,589,3.0,42,1700
Intel,i7-13700k,13gen-i7.jpg,409,3.4,16,1700
Intel,i5-13600k,13gen-i5.jpg,319,3.5,14,1700
Intel,i9-12900k,12gen-i9.jpg,499,3.2,16,1700
Intel,i7-12700k,12gen-i7.jpg,377,3.6,12,1700
Intel,i5-12600k,12gen-i5.jpg,279,3.4,10,1700
AMD,Ryzen 9 5950x,5000-r9.jpg,549,3.4,16,1331
AMD,Ryzen 9 5900x,5000-r9.jpg,341,3.7,12,1331
AMD,Ryzen 7 5800x,5000-r7.jpg,248,3.8,8,1331
AMD,Ryzen 5 5600x,5000-r5.jpg,158,3.7,6,1331
AMD,Ryzen 9 7950x,7000-r9.jpg,697,4.5,16,1718
AMD,Ryzen 9 7900x,7000-r9.jpg,549,4.7,12,1718
AMD,Ryzen 7 7700x,7000-r7.jpg,398,4.5,8,1718
AMD,Ryzen 5 7600x,7000-r5.jpg,299,4.7,6,1718
